country,year,avg_funders
UA,2021,1.2727272727272727
UA,2022,1.56
UA,2023,2.1666666666666665
UG,2016,1.5
UG,2017,1.0
UG,2018,1.3333333333333333
UG,2019,2.111111111111111
UG,2020,1.7272727272727273
UG,2021,1.2916666666666667
UG,2022,1.2962962962962963
UG,2023,1.0
US,1995,1.0
US,2004,2.0
US,2008,3.5
US,2009,1.25
US,2010,1.3333333333333333
US,2013,1.0
US,2014,1.8176100628930818
US,2015,1.9533333333333334
US,2016,2.2329485834207765
US,2017,2.181946974296701
US,2018,2.2164436771687526
US,2019,2.313490919573364
US,2020,2.291672910734802
US,2021,2.22583952832607
US,2022,2.077546480216113
US,2023,2.0424521714844297
UY,2017,1.6666666666666667
UY,2018,3.5
UY,2019,2.8333333333333335
UY,2020,2.2
UY,2021,2.4166666666666665
UY,2022,2.2
UY,2023,1.1666666666666667
UZ,2020,1.0
UZ,2021,1.6666666666666667
UZ,2022,1.0
VE,2020,1.0
VE,2021,2.0
VE,2022,2.0
VN,2016,2.0
VN,2017,3.0
VN,2018,1.3333333333333333
VN,2019,1.5714285714285714
VN,2020,1.3333333333333333
VN,2021,1.7407407407407407
VN,2022,1.5777777777777777
VN,2023,1.6666666666666667
XK,2023,1.0
YE,2021,1.0
YE,2022,1.4
ZA,2015,1.0
ZA,2016,1.0
ZA,2017,1.375
ZA,2018,1.5681818181818181
ZA,2019,1.606060606060606
ZA,2020,2.4804469273743015
ZA,2021,1.8817733990147782
ZA,2022,1.9954954954954955
ZA,2023,1.9152542372881356
ZM,2018,1.4
ZM,2019,1.6
ZM,2020,2.0
ZM,2021,1.7142857142857142
ZM,2022,1.8333333333333333
ZM,2023,1.0
ZW,2019,1.0
ZW,2020,2.0
ZW,2021,1.1428571428571428
ZW,2022,2.5
