organ,c1,c2,period_start,period_end,collab_count
skeletal,ES,FR,2015,2019,9
skeletal,CH,IT,2015,2019,8
skeletal,DK,NL,2015,2019,8
skeletal,CA,FR,2015,2019,8
skeletal,GB,IE,2015,2019,8
skeletal,NZ,US,2015,2019,8
skeletal,GB,US,2020,2024,201
skeletal,CN,US,2020,2024,154
skeletal,CA,US,2020,2024,143
skeletal,AU,US,2020,2024,113
skeletal,DE,US,2020,2024,94
skeletal,AU,GB,2020,2024,92
skeletal,IT,US,2020,2024,92
skeletal,JP,US,2020,2024,90
skeletal,BR,US,2020,2024,87
skeletal,FR,US,2020,2024,81
skeletal,GB,IT,2020,2024,80
skeletal,ES,US,2020,2024,72
skeletal,FR,GB,2020,2024,71
skeletal,CA,GB,2020,2024,69
skeletal,DE,GB,2020,2024,67
skeletal,ES,GB,2020,2024,64
skeletal,GB,NL,2020,2024,60
skeletal,NL,US,2020,2024,53
skeletal,FR,IT,2020,2024,53
skeletal,KR,US,2020,2024,53
skeletal,CH,US,2020,2024,49
skeletal,DK,US,2020,2024,47
skeletal,DK,GB,2020,2024,46
skeletal,DE,IT,2020,2024,46
skeletal,ES,IT,2020,2024,46
skeletal,DE,FR,2020,2024,44
skeletal,BR,CA,2020,2024,42
skeletal,DE,NL,2020,2024,38
skeletal,SE,US,2020,2024,38
skeletal,CA,FR,2020,2024,37
skeletal,FR,NL,2020,2024,37
skeletal,ES,FR,2020,2024,35
skeletal,CH,DE,2020,2024,33
skeletal,DK,ES,2020,2024,32
skeletal,AU,DE,2020,2024,32
skeletal,BR,PT,2020,2024,31
skeletal,CH,GB,2020,2024,30
skeletal,AT,IT,2020,2024,30
skeletal,AU,CA,2020,2024,30
skeletal,CA,IT,2020,2024,29
skeletal,IN,US,2020,2024,28
skeletal,CH,IT,2020,2024,28
skeletal,DE,ES,2020,2024,28
skeletal,GB,SE,2020,2024,27
skeletal,AT,DE,2020,2024,27
skeletal,BE,US,2020,2024,27
skeletal,ES,NL,2020,2024,27
