country,year,author_count
PA,2019,6
PA,2020,4
PA,2021,15
PA,2022,20
PA,2023,2
PE,2014,1
PE,2015,2
PE,2016,4
PE,2017,14
PE,2018,15
PE,2019,39
PE,2020,86
PE,2021,67
PE,2022,142
PE,2023,28
PF,2017,1
PF,2018,2
PF,2019,2
PF,2021,3
PF,2022,1
PG,2020,3
PG,2022,2
PH,2016,3
PH,2017,5
PH,2018,14
PH,2019,20
PH,2020,28
PH,2021,62
PH,2022,79
PH,2023,8
PK,2014,7
PK,2015,8
PK,2016,15
PK,2017,43
PK,2018,89
PK,2019,132
PK,2020,238
PK,2021,417
PK,2022,715
PK,2023,131
PL,2008,1
PL,2014,60
PL,2015,25
PL,2016,60
PL,2017,220
PL,2018,572
PL,2019,1066
PL,2020,1885
PL,2021,3081
PL,2022,3059
PL,2023,803
PS,2016,1
PS,2018,3
PS,2019,5
PS,2020,13
PS,2021,14
PS,2022,15
PS,2023,9
PT,2012,2
PT,2014,14
PT,2015,30
PT,2016,68
PT,2017,196
PT,2018,372
PT,2019,641
PT,2020,932
PT,2021,1326
PT,2022,1624
PT,2023,470
PY,2016,1
PY,2017,1
PY,2018,2
PY,2019,3
PY,2020,3
PY,2021,10
PY,2022,5
PY,2023,2
QA,2015,2
QA,2016,4
QA,2017,17
QA,2018,33
QA,2019,55
QA,2020,93
QA,2021,139
QA,2022,172
QA,2023,54
RE,2018,1
RE,2019,4
RE,2020,3
RE,2021,5
RE,2022,6
RE,2023,1
RO,2012,1
RO,2014,5
RO,2015,5
RO,2016,10
RO,2017,41
RO,2018,59
RO,2019,154
RO,2020,318
RO,2021,601
RO,2022,914
RO,2023,210
RS,2014,3
RS,2015,2
RS,2016,13
RS,2017,27
RS,2018,84
RS,2019,100
RS,2020,145
RS,2021,249
RS,2022,327
RS,2023,85
RU,2012,1
RU,2013,1
RU,2014,2
RU,2015,2
RU,2016,36
RU,2017,119
RU,2018,242
RU,2019,460
RU,2020,1344
RU,2021,1969
RU,2022,2505
RU,2023,505
RW,2016,1
RW,2017,1
RW,2018,2
RW,2019,2
RW,2020,4
RW,2021,14
RW,2022,10
RW,2023,4
SA,2014,12
SA,2015,3
SA,2016,21
SA,2017,68
SA,2018,132
SA,2019,208
SA,2020,458
SA,2021,745
SA,2022,1253
SA,2023,309
SB,2020,1
SC,2016,1
SC,2021,1
SD,2017,4
SD,2019,4
SD,2020,9
SD,2021,12
SD,2022,28
SD,2023,4
SE,2009,1
SE,2013,2
SE,2014,15
SE,2015,41
SE,2016,173
SE,2017,488
SE,2018,869
SE,2019,1136
SE,2020,1550
SE,2021,2013
SE,2022,2213
SE,2023,645
SG,2014,4
SG,2015,20
SG,2016,40
SG,2017,116
SG,2018,218
SG,2019,358
SG,2020,504
SG,2021,654
SG,2022,773
SG,2023,237
SI,2014,7
SI,2015,1
SI,2016,7
SI,2017,26
SI,2018,52
SI,2019,88
SI,2020,116
SI,2021,201
SI,2022,223
SI,2023,53
SK,2015,1
SK,2016,6
SK,2017,12
SK,2018,38
SK,2019,58
SK,2020,95
SK,2021,176
SK,2022,188
SK,2023,43
SL,2021,6
SL,2022,2
SN,2018,1
SN,2019,2
SN,2020,2
